Transfer CCY,Transfer Date,Order ID,Buy/Sell,Instrument type,Instrument subtype,Instrument,Instrument CCY,Trade Amount,Trade Price,Settled PL
USD,8/6/25 15:57,705174,Sell,FOREX,Forex Majors,EUR/USD,USD,"50,000.00",1.16465,—
USD,8/6/25 15:58,705180,Buy,FOREX,Forex Majors,EUR/USD,USD,"50,000.00",1.16453,6
USD,8/6/25 15:59,705188,Sell,FOREX,Forex Majors,EUR/USD,USD,"20,000.00",1.16462,—
USD,8/13/25 9:22,723803,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17259,—
USD,8/13/25 9:22,723810,Sell,FOREX,Forex Majors,EUR/USD,USD,"260,000.00",1.17259,—
USD,8/13/25 9:22,723817,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17259,—
USD,8/13/25 9:22,723824,Sell,FOREX,Forex Majors,EUR/USD,USD,"260,000.00",1.17259,—
USD,8/13/25 9:22,723831,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17259,—
USD,8/13/25 9:22,723838,Sell,FOREX,Forex Majors,EUR/USD,USD,"20,000.00",1.17259,—
USD,8/13/25 9:27,723857,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17295,—
USD,8/13/25 9:27,723864,Sell,FOREX,Forex Majors,EUR/USD,USD,"260,000.00",1.17295,—
USD,8/13/25 9:27,723871,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17295,—
USD,8/13/25 9:27,723878,Sell,FOREX,Forex Majors,EUR/USD,USD,"260,000.00",1.17295,—
USD,8/13/25 9:27,723885,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17295,—
USD,8/13/25 9:27,723892,Sell,FOREX,Forex Majors,EUR/USD,USD,"20,000.00",1.17295,—
USD,8/13/25 9:27,723899,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17294,—
USD,8/13/25 9:27,723906,Sell,FOREX,Forex Majors,EUR/USD,USD,"260,000.00",1.17294,—
USD,8/13/25 9:27,723913,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17294,—
USD,8/13/25 9:27,723920,Sell,FOREX,Forex Majors,EUR/USD,USD,"260,000.00",1.17294,—
USD,8/13/25 9:27,723927,Sell,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.17294,—
USD,8/13/25 9:27,723934,Sell,FOREX,Forex Majors,EUR/USD,USD,"20,000.00",1.17294,—
USD,8/13/25 9:41,724067,Buy,FOREX,Forex Majors,EUR/USD,USD,"100,000.00",1.1726,-160.4
USD,8/13/25 9:41,724074,Buy,FOREX,Forex Majors,EUR/USD,USD,"260,000.00",1.1726,-2.6
